lineage_id,replicate1_counts,replicate2_counts,replicate1_fate,replicate2_fate,pooled_counts,pooled_fate,replicate1_total,replicate2_total,concordant,discordant,replicate1_support,replicate2_support
4e1ff68714af6341ce95,0:0:1,0:0:1,0:0:1,0:0:1,0:0:2,0:0:1,1,1,True,False,001,001
4e22fb941f6d7f241b8b,0:0:4,0:0:4,0:0:1,0:0:1,0:0:8,0:0:1,4,4,True,False,001,001
4e704fc2b4ba67202074,2:0:0,3:0:0,1:0:0,1:0:0,5:0:0,1:0:0,2,3,True,False,100,100
4e7b1e5ceef0e0019522,1:0:0,2:3:0,1:0:0,2:3:0,3:3:0,1:1:0,1,5,False,True,100,110
4e7ddf961e6a5b877e2c,0:0:4,0:0:4,0:0:1,0:0:1,0:0:8,0:0:1,4,4,True,False,001,001
4f089da77225f6874cd4,3:3:1,2:6:0,3:3:1,1:3:0,5:9:1,5:9:1,7,8,False,True,111,110
4f08e19932ecfcc7a8f3,0:0:6,0:0:11,0:0:1,0:0:1,0:0:17,0:0:1,6,11,True,False,001,001
4f301a50fe646c2bfdbd,0:0:2,0:1:2,0:0:1,0:1:2,0:1:4,0:1:4,2,3,False,True,001,011
4f4127f967de214ce560,0:3:0,0:8:0,0:1:0,0:1:0,0:11:0,0:1:0,3,8,True,False,010,010
4f54c0a6532873ca23cb,0:0:14,0:0:7,0:0:1,0:0:1,0:0:21,0:0:1,14,7,True,False,001,001
4fdee8b6334702c0e809,0:0:15,0:1:13,0:0:1,0:1:13,0:1:28,0:1:28,15,14,False,True,001,011
500f8ca81c91f1395a69,0:1:0,0:0:2,0:1:0,0:0:1,0:1:2,0:1:2,1,2,False,True,010,001
501a3ad99215efcbeb51,0:0:6,0:1:3,0:0:1,0:1:3,0:1:9,0:1:9,6,4,False,True,001,011
50406330a2d9549fc7d2,6:21:0,3:17:0,2:7:0,3:17:0,9:38:0,9:38:0,27,20,False,True,110,110
5064b4779ad7409bdbdc,0:1:0,0:0:1,0:1:0,0:0:1,0:1:1,0:1:1,1,1,False,True,010,001
5088d4404f0479f5a613,0:0:1,0:1:0,0:0:1,0:1:0,0:1:1,0:1:1,1,1,False,True,001,010
50919ecedb2725c68aa6,0:0:1,0:0:2,0:0:1,0:0:1,0:0:3,0:0:1,1,2,True,False,001,001
50ab621b97195fcadebe,0:0:1,0:0:1,0:0:1,0:0:1,0:0:2,0:0:1,1,1,True,False,001,001
50d52e7a66dcc1eed7e9,0:0:2,0:1:1,0:0:1,0:1:1,0:1:3,0:1:3,2,2,False,True,001,011
511f17a11c26250eb4f7,0:0:1,0:0:1,0:0:1,0:0:1,0:0:2,0:0:1,1,1,True,False,001,001
514096ca5599c8472038,2:1:1,8:5:1,2:1:1,8:5:1,10:6:2,5:3:1,4,14,False,True,111,111
517a04aa7e0438d82c2f,0:0:2,0:0:2,0:0:1,0:0:1,0:0:4,0:0:1,2,2,True,False,001,001
519f2e69973dafd8b207,0:0:2,0:0:1,0:0:1,0:0:1,0:0:3,0:0:1,2,1,True,False,001,001
51d0d267f1284aec7d5e,0:0:1,0:1:0,0:0:1,0:1:0,0:1:1,0:1:1,1,1,False,True,001,010
51e5fac289daaa7e556a,0:0:1,0:0:2,0:0:1,0:0:1,0:0:3,0:0:1,1,2,True,False,001,001
5221523f452129457535,0:0:1,0:0:1,0:0:1,0:0:1,0:0:2,0:0:1,1,1,True,False,001,001
5226ea08080280dd5e43,0:2:0,0:5:0,0:1:0,0:1:0,0:7:0,0:1:0,2,5,True,False,010,010
524679e4c438945a0b6b,0:0:1,0:0:2,0:0:1,0:0:1,0:0:3,0:0:1,1,2,True,False,001,001
527a4461630ffad482b9,3:53:0,4:48:0,3:53:0,1:12:0,7:101:0,7:101:0,56,52,False,True,110,110
528c6816e735ea84d85e,0:1:17,0:0:14,0:1:17,0:0:1,0:1:31,0:1:31,18,14,False,True,011,001
52ca1608c2d5303c8efe,0:0:2,0:0:1,0:0:1,0:0:1,0:0:3,0:0:1,2,1,True,False,001,001
534a35bc515699774508,0:1:0,0:4:0,0:1:0,0:1:0,0:5:0,0:1:0,1,4,True,False,010,010
53677de034787c42b913,0:0:2,0:0:2,0:0:1,0:0:1,0:0:4,0:0:1,2,2,True,False,001,001
536b568d0d7ac8e82d4f,0:0:4,0:0:1,0:0:1,0:0:1,0:0:5,0:0:1,4,1,True,False,001,001
53a348d9d11a121e27f5,0:1:0,0:2:0,0:1:0,0:1:0,0:3:0,0:1:0,1,2,True,False,010,010
53d71552ceab5e4ed3a1,0:0:2,0:2:0,0:0:1,0:1:0,0:2:2,0:1:1,2,2,False,True,001,010
53d9513c1da58d4e1103,0:0:1,0:1:0,0:0:1,0:1:0,0:1:1,0:1:1,1,1,False,True,001,010
53e2da3e7ae27dab3db9,0:0:2,0:0:2,0:0:1,0:0:1,0:0:4,0:0:1,2,2,True,False,001,001
53f9c155be22aa47b86b,0:0:2,1:0:0,0:0:1,1:0:0,1:0:2,1:0:2,2,1,False,True,001,100
54739368b77ad820cf57,0:0:5,0:1:2,0:0:1,0:1:2,0:1:7,0:1:7,5,3,False,True,001,011
54857a243a8587e6e5bb,0:0:1,0:0:1,0:0:1,0:0:1,0:0:2,0:0:1,1,1,True,False,001,001
